day_time,temperature,precipitation_p,humidity,weather,cid
2022-01-15 12:00:00 (UTC),6.25,0.0,70,clear sky,0
2022-01-16 12:00:00 (UTC),7.95,0.1,86,overcast clouds,0
2022-01-17 12:00:00 (UTC),10.18,0.08,87,broken clouds,0
2022-01-18 12:00:00 (UTC),8.23,0.0,72,few clouds,0
2022-01-19 12:00:00 (UTC),7.63,0.0,76,scattered clouds,0
2022-01-20 12:00:00 (UTC),8.39,0.0,70,broken clouds,0
2022-01-21 12:00:00 (UTC),5.95,0.0,65,scattered clouds,0
2022-01-15 12:00:00 (UTC),6.48,0.0,82,clear sky,1
2022-01-16 12:00:00 (UTC),9.33,0.02,80,overcast clouds,1
2022-01-17 12:00:00 (UTC),9.8,0.04,86,clear sky,1
2022-01-18 12:00:00 (UTC),7.28,0.0,76,scattered clouds,1
2022-01-19 12:00:00 (UTC),8.11,0.0,75,few clouds,1
2022-01-20 12:00:00 (UTC),8.25,0.0,73,overcast clouds,1
2022-01-21 12:00:00 (UTC),6.06,0.0,64,overcast clouds,1
2022-01-15 12:00:00 (UTC),6.64,0.0,64,clear sky,2
2022-01-16 12:00:00 (UTC),9.13,0.66,85,light rain,2
2022-01-17 12:00:00 (UTC),10.05,0.07,79,clear sky,2
2022-01-18 12:00:00 (UTC),7.76,0.0,74,clear sky,2
2022-01-19 12:00:00 (UTC),8.17,0.0,77,broken clouds,2
2022-01-20 12:00:00 (UTC),7.34,0.0,67,scattered clouds,2
2022-01-21 12:00:00 (UTC),5.46,0.2,69,light rain,2
2022-01-15 12:00:00 (UTC),5.64,0.0,56,clear sky,3
2022-01-16 12:00:00 (UTC),8.49,0.68,87,moderate rain,3
2022-01-17 12:00:00 (UTC),8.4,0.0,75,clear sky,3
2022-01-18 12:00:00 (UTC),7.32,0.0,75,clear sky,3
2022-01-19 12:00:00 (UTC),6.34,0.0,76,scattered clouds,3
2022-01-20 12:00:00 (UTC),7.06,0.0,67,scattered clouds,3
2022-01-21 12:00:00 (UTC),6.03,0.0,65,broken clouds,3
2022-01-15 12:00:00 (UTC),6.54,0.0,53,clear sky,4
2022-01-16 12:00:00 (UTC),6.55,0.43,87,light rain,4
2022-01-17 12:00:00 (UTC),8.87,0.0,70,clear sky,4
2022-01-18 12:00:00 (UTC),7.66,0.0,73,clear sky,4
2022-01-19 12:00:00 (UTC),6.07,0.0,78,few clouds,4
2022-01-20 12:00:00 (UTC),7.17,0.2,70,light rain,4
2022-01-21 12:00:00 (UTC),5.12,0.23,81,light rain,4
2022-01-15 11:00:00 (UTC),5.47,0.0,71,scattered clouds,5
2022-01-16 12:00:00 (UTC),7.61,0.17,70,overcast clouds,5
2022-01-17 12:00:00 (UTC),7.68,0.15,67,clear sky,5
2022-01-18 12:00:00 (UTC),7.16,0.0,68,clear sky,5
2022-01-19 12:00:00 (UTC),5.05,0.0,72,broken clouds,5
2022-01-20 12:00:00 (UTC),6.56,0.0,64,overcast clouds,5
2022-01-21 12:00:00 (UTC),4.42,0.0,73,few clouds,5
2022-01-15 11:00:00 (UTC),6.13,0.0,74,scattered clouds,6
2022-01-16 12:00:00 (UTC),7.64,0.14,82,overcast clouds,6
2022-01-17 12:00:00 (UTC),8.3,0.0,78,clear sky,6
2022-01-18 12:00:00 (UTC),7.11,0.0,74,clear sky,6
2022-01-19 12:00:00 (UTC),5.31,0.0,77,broken clouds,6
2022-01-20 12:00:00 (UTC),6.79,0.2,69,rain and snow,6
2022-01-21 12:00:00 (UTC),5.8,0.33,75,light rain,6
2022-01-15 11:00:00 (UTC),5.61,0.0,64,few clouds,7
2022-01-16 11:00:00 (UTC),6.23,0.54,92,light rain,7
2022-01-17 11:00:00 (UTC),6.79,0.0,84,few clouds,7
2022-01-18 11:00:00 (UTC),6.76,0.0,74,clear sky,7
2022-01-19 11:00:00 (UTC),4.76,0.0,78,overcast clouds,7
2022-01-20 11:00:00 (UTC),5.96,0.4,67,rain and snow,7
2022-01-21 11:00:00 (UTC),6.47,0.4,65,rain and snow,7
2022-01-15 11:00:00 (UTC),3.56,0.0,71,clear sky,8
2022-01-16 11:00:00 (UTC),4.0,0.25,69,clear sky,8
2022-01-17 11:00:00 (UTC),4.03,0.37,82,overcast clouds,8
2022-01-18 11:00:00 (UTC),6.99,0.0,72,clear sky,8
2022-01-19 11:00:00 (UTC),6.08,0.0,64,scattered clouds,8
2022-01-20 11:00:00 (UTC),3.22,0.91,93,rain and snow,8
2022-01-21 11:00:00 (UTC),2.31,0.36,67,light snow,8
2022-01-15 11:00:00 (UTC),2.23,0.0,71,clear sky,9
2022-01-16 11:00:00 (UTC),2.28,0.37,63,light snow,9
2022-01-17 11:00:00 (UTC),1.62,0.38,85,light snow,9
2022-01-18 11:00:00 (UTC),3.82,0.0,75,clear sky,9
2022-01-19 11:00:00 (UTC),5.33,0.0,57,few clouds,9
2022-01-20 11:00:00 (UTC),0.43,0.84,95,light snow,9
2022-01-21 11:00:00 (UTC),-1.31,0.27,70,light snow,9
2022-01-15 11:00:00 (UTC),4.95,0.0,72,clear sky,10
2022-01-16 11:00:00 (UTC),5.47,0.15,64,clear sky,10
2022-01-17 11:00:00 (UTC),4.94,0.3,80,overcast clouds,10
2022-01-18 11:00:00 (UTC),6.69,0.0,74,clear sky,10
2022-01-19 11:00:00 (UTC),8.03,0.0,56,few clouds,10
2022-01-20 11:00:00 (UTC),4.32,0.78,83,rain and snow,10
2022-01-21 11:00:00 (UTC),1.7,0.4,70,broken clouds,10
2022-01-15 11:00:00 (UTC),5.3,0.0,71,clear sky,11
2022-01-16 11:00:00 (UTC),5.84,0.16,63,clear sky,11
2022-01-17 11:00:00 (UTC),5.22,0.29,80,overcast clouds,11
2022-01-18 11:00:00 (UTC),6.65,0.0,75,clear sky,11
2022-01-19 11:00:00 (UTC),8.48,0.0,55,few clouds,11
2022-01-20 11:00:00 (UTC),4.36,0.77,83,rain and snow,11
2022-01-21 11:00:00 (UTC),1.71,0.4,70,broken clouds,11
2022-01-15 11:00:00 (UTC),4.97,0.0,68,few clouds,12
2022-01-16 11:00:00 (UTC),3.88,0.0,66,clear sky,12
2022-01-17 11:00:00 (UTC),5.39,0.0,80,broken clouds,12
2022-01-18 11:00:00 (UTC),7.15,0.0,68,clear sky,12
2022-01-19 11:00:00 (UTC),8.11,0.0,58,clear sky,12
2022-01-20 11:00:00 (UTC),2.88,0.81,98,rain and snow,12
2022-01-21 11:00:00 (UTC),1.91,0.33,68,few clouds,12
2022-01-15 11:00:00 (UTC),4.11,0.0,73,scattered clouds,13
2022-01-16 11:00:00 (UTC),4.12,0.0,62,clear sky,13
2022-01-17 11:00:00 (UTC),3.96,0.0,93,overcast clouds,13
2022-01-18 11:00:00 (UTC),6.16,0.0,72,clear sky,13
2022-01-19 11:00:00 (UTC),6.99,0.0,64,clear sky,13
2022-01-20 11:00:00 (UTC),2.9,0.32,96,light rain,13
2022-01-21 11:00:00 (UTC),3.07,0.0,60,clear sky,13
2022-01-15 11:00:00 (UTC),6.04,0.0,75,scattered clouds,14
2022-01-16 11:00:00 (UTC),5.17,0.0,75,clear sky,14
2022-01-17 11:00:00 (UTC),4.38,0.0,78,clear sky,14
2022-01-18 11:00:00 (UTC),4.95,0.0,79,scattered clouds,14
2022-01-19 11:00:00 (UTC),7.2,0.0,65,clear sky,14
2022-01-20 11:00:00 (UTC),3.68,0.45,94,light snow,14
2022-01-21 11:00:00 (UTC),1.6,0.25,67,light snow,14
2022-01-15 11:00:00 (UTC),10.99,0.0,56,broken clouds,15
2022-01-16 11:00:00 (UTC),7.62,0.0,64,clear sky,15
2022-01-17 11:00:00 (UTC),6.48,0.0,67,clear sky,15
2022-01-18 11:00:00 (UTC),10.31,0.0,47,clear sky,15
2022-01-19 11:00:00 (UTC),11.2,0.0,50,clear sky,15
2022-01-20 11:00:00 (UTC),4.45,0.41,97,light snow,15
2022-01-21 11:00:00 (UTC),2.59,0.32,69,light snow,15
2022-01-15 11:00:00 (UTC),4.19,0.0,52,broken clouds,16
2022-01-16 11:00:00 (UTC),4.74,0.0,53,clear sky,16
2022-01-17 11:00:00 (UTC),5.75,0.0,75,few clouds,16
2022-01-18 11:00:00 (UTC),4.53,0.0,71,overcast clouds,16
2022-01-19 11:00:00 (UTC),8.48,0.0,65,clear sky,16
2022-01-20 11:00:00 (UTC),6.6,0.04,68,broken clouds,16
2022-01-21 11:00:00 (UTC),3.3,0.03,53,clear sky,16
2022-01-15 11:00:00 (UTC),12.1,0.0,28,few clouds,17
2022-01-16 11:00:00 (UTC),10.57,0.0,29,clear sky,17
2022-01-17 11:00:00 (UTC),9.42,0.0,32,clear sky,17
2022-01-18 11:00:00 (UTC),9.87,0.0,37,clear sky,17
2022-01-19 11:00:00 (UTC),8.81,0.0,36,clear sky,17
2022-01-20 11:00:00 (UTC),7.14,0.0,42,scattered clouds,17
2022-01-21 11:00:00 (UTC),6.9,0.0,39,clear sky,17
2022-01-15 11:00:00 (UTC),12.14,0.0,36,clear sky,18
2022-01-16 11:00:00 (UTC),11.54,0.0,36,clear sky,18
2022-01-17 11:00:00 (UTC),11.17,0.0,64,few clouds,18
2022-01-18 11:00:00 (UTC),12.15,0.0,62,clear sky,18
2022-01-19 11:00:00 (UTC),12.12,0.0,60,clear sky,18
2022-01-20 11:00:00 (UTC),11.1,0.17,54,scattered clouds,18
2022-01-21 11:00:00 (UTC),11.43,0.0,46,clear sky,18
2022-01-15 11:00:00 (UTC),11.24,0.0,37,clear sky,19
2022-01-16 11:00:00 (UTC),9.98,0.0,45,clear sky,19
2022-01-17 11:00:00 (UTC),11.17,0.0,40,scattered clouds,19
2022-01-18 11:00:00 (UTC),12.53,0.0,57,clear sky,19
2022-01-19 11:00:00 (UTC),12.09,0.0,62,clear sky,19
2022-01-20 11:00:00 (UTC),10.34,0.05,61,few clouds,19
2022-01-21 11:00:00 (UTC),10.31,0.0,47,clear sky,19
2022-01-15 11:00:00 (UTC),10.02,0.0,40,few clouds,20
2022-01-16 11:00:00 (UTC),8.68,0.0,50,clear sky,20
2022-01-17 11:00:00 (UTC),9.94,0.0,43,scattered clouds,20
2022-01-18 11:00:00 (UTC),12.02,0.0,56,clear sky,20
2022-01-19 11:00:00 (UTC),11.81,0.0,60,clear sky,20
2022-01-20 11:00:00 (UTC),10.04,0.02,62,few clouds,20
2022-01-21 11:00:00 (UTC),9.05,0.0,50,clear sky,20
2022-01-15 11:00:00 (UTC),9.38,0.0,31,clear sky,21
2022-01-16 11:00:00 (UTC),8.21,0.0,38,clear sky,21
2022-01-17 11:00:00 (UTC),8.76,0.0,38,few clouds,21
2022-01-18 11:00:00 (UTC),11.28,0.0,41,clear sky,21
2022-01-19 11:00:00 (UTC),10.76,0.0,51,clear sky,21
2022-01-20 11:00:00 (UTC),8.76,0.0,60,few clouds,21
2022-01-21 11:00:00 (UTC),8.15,0.0,44,clear sky,21
2022-01-15 11:00:00 (UTC),7.19,0.0,46,scattered clouds,22
2022-01-16 11:00:00 (UTC),8.02,0.0,47,clear sky,22
2022-01-17 11:00:00 (UTC),8.2,0.0,57,clear sky,22
2022-01-18 11:00:00 (UTC),9.3,0.0,52,clear sky,22
2022-01-19 11:00:00 (UTC),11.56,0.0,54,scattered clouds,22
2022-01-20 11:00:00 (UTC),9.04,0.0,59,scattered clouds,22
2022-01-21 11:00:00 (UTC),5.13,0.0,50,clear sky,22
2022-01-15 11:00:00 (UTC),7.68,0.0,38,broken clouds,23
2022-01-16 11:00:00 (UTC),8.49,0.0,42,clear sky,23
2022-01-17 11:00:00 (UTC),9.26,0.0,55,clear sky,23
2022-01-18 11:00:00 (UTC),9.05,0.0,53,clear sky,23
2022-01-19 11:00:00 (UTC),10.93,0.0,62,few clouds,23
2022-01-20 11:00:00 (UTC),10.1,0.0,49,scattered clouds,23
2022-01-21 11:00:00 (UTC),4.99,0.0,42,clear sky,23
2022-01-15 11:00:00 (UTC),7.9,0.0,38,broken clouds,24
2022-01-16 11:00:00 (UTC),8.79,0.0,41,clear sky,24
2022-01-17 11:00:00 (UTC),10.12,0.0,50,few clouds,24
2022-01-18 11:00:00 (UTC),9.75,0.0,50,clear sky,24
2022-01-19 11:00:00 (UTC),11.46,0.0,63,clear sky,24
2022-01-20 11:00:00 (UTC),10.91,0.0,47,scattered clouds,24
2022-01-21 11:00:00 (UTC),6.12,0.0,38,clear sky,24
2022-01-15 11:00:00 (UTC),7.86,0.0,43,broken clouds,25
2022-01-16 11:00:00 (UTC),8.55,0.0,44,clear sky,25
2022-01-17 11:00:00 (UTC),10.81,0.0,49,few clouds,25
2022-01-18 11:00:00 (UTC),10.05,0.0,54,clear sky,25
2022-01-19 11:00:00 (UTC),11.6,0.0,68,clear sky,25
2022-01-20 11:00:00 (UTC),10.99,0.0,51,few clouds,25
2022-01-21 11:00:00 (UTC),7.49,0.0,37,clear sky,25
2022-01-15 11:00:00 (UTC),7.99,0.0,45,broken clouds,26
2022-01-16 11:00:00 (UTC),8.8,0.0,48,clear sky,26
2022-01-17 11:00:00 (UTC),9.98,0.0,56,few clouds,26
2022-01-18 11:00:00 (UTC),10.23,0.0,55,clear sky,26
2022-01-19 11:00:00 (UTC),11.96,0.0,68,few clouds,26
2022-01-20 11:00:00 (UTC),10.6,0.0,56,few clouds,26
2022-01-21 11:00:00 (UTC),6.43,0.0,49,clear sky,26
2022-01-15 11:00:00 (UTC),11.35,0.0,37,clear sky,27
2022-01-16 11:00:00 (UTC),11.63,0.0,35,clear sky,27
2022-01-17 11:00:00 (UTC),12.44,0.0,41,broken clouds,27
2022-01-18 11:00:00 (UTC),10.08,0.0,66,clear sky,27
2022-01-19 11:00:00 (UTC),11.5,0.0,66,clear sky,27
2022-01-20 11:00:00 (UTC),12.43,0.0,47,broken clouds,27
2022-01-21 11:00:00 (UTC),9.04,0.0,53,clear sky,27
2022-01-15 11:00:00 (UTC),8.5,0.0,48,clear sky,28
2022-01-16 12:00:00 (UTC),8.58,0.0,46,clear sky,28
2022-01-17 12:00:00 (UTC),9.19,0.0,56,scattered clouds,28
2022-01-18 12:00:00 (UTC),9.16,0.0,64,clear sky,28
2022-01-19 12:00:00 (UTC),10.99,0.0,69,scattered clouds,28
2022-01-20 12:00:00 (UTC),9.01,0.0,67,broken clouds,28
2022-01-21 12:00:00 (UTC),5.47,0.0,57,few clouds,28
2022-01-15 12:00:00 (UTC),4.65,0.0,44,clear sky,29
2022-01-16 12:00:00 (UTC),3.87,0.0,41,clear sky,29
2022-01-17 12:00:00 (UTC),4.41,0.0,43,broken clouds,29
2022-01-18 12:00:00 (UTC),5.75,0.0,49,clear sky,29
2022-01-19 12:00:00 (UTC),6.27,0.0,51,clear sky,29
2022-01-20 12:00:00 (UTC),3.9,0.0,59,overcast clouds,29
2022-01-21 12:00:00 (UTC),-0.18,0.0,70,broken clouds,29
2022-01-15 12:00:00 (UTC),7.57,0.0,46,clear sky,30
2022-01-16 12:00:00 (UTC),6.74,0.0,50,clear sky,30
2022-01-17 12:00:00 (UTC),7.19,0.0,59,scattered clouds,30
2022-01-18 12:00:00 (UTC),8.52,0.0,66,clear sky,30
2022-01-19 12:00:00 (UTC),10.34,0.0,65,clear sky,30
2022-01-20 12:00:00 (UTC),8.17,0.0,67,broken clouds,30
2022-01-21 12:00:00 (UTC),4.25,0.0,54,clear sky,30
2022-01-15 12:00:00 (UTC),6.86,0.0,53,clear sky,31
2022-01-16 12:00:00 (UTC),6.29,0.0,53,clear sky,31
2022-01-17 12:00:00 (UTC),7.36,0.0,64,scattered clouds,31
2022-01-18 12:00:00 (UTC),7.52,0.0,62,clear sky,31
2022-01-19 12:00:00 (UTC),10.11,0.0,71,clear sky,31
2022-01-20 12:00:00 (UTC),8.01,0.0,70,scattered clouds,31
2022-01-21 12:00:00 (UTC),4.75,0.0,50,clear sky,31
2022-01-15 12:00:00 (UTC),8.75,0.0,49,clear sky,32
2022-01-16 12:00:00 (UTC),8.86,0.0,52,clear sky,32
2022-01-17 12:00:00 (UTC),7.86,0.0,59,overcast clouds,32
2022-01-18 12:00:00 (UTC),9.35,0.0,60,clear sky,32
2022-01-19 12:00:00 (UTC),10.63,0.0,47,clear sky,32
2022-01-20 12:00:00 (UTC),9.63,0.0,73,overcast clouds,32
2022-01-21 12:00:00 (UTC),6.11,0.01,60,scattered clouds,32
2022-01-15 12:00:00 (UTC),9.0,0.0,50,clear sky,33
2022-01-16 12:00:00 (UTC),9.2,0.0,53,clear sky,33
2022-01-17 12:00:00 (UTC),8.16,0.0,59,overcast clouds,33
2022-01-18 12:00:00 (UTC),9.75,0.0,60,clear sky,33
2022-01-19 12:00:00 (UTC),11.1,0.0,48,clear sky,33
2022-01-20 12:00:00 (UTC),9.89,0.0,72,overcast clouds,33
2022-01-21 12:00:00 (UTC),6.5,0.0,58,few clouds,33
2022-01-15 12:00:00 (UTC),7.3,0.0,56,clear sky,34
2022-01-16 12:00:00 (UTC),6.99,0.0,71,clear sky,34
2022-01-17 12:00:00 (UTC),8.8,0.0,74,clear sky,34
2022-01-18 12:00:00 (UTC),7.64,0.0,69,few clouds,34
2022-01-19 12:00:00 (UTC),6.85,0.0,77,clear sky,34
2022-01-20 12:00:00 (UTC),7.8,0.0,80,clear sky,34
2022-01-21 12:00:00 (UTC),5.18,0.0,64,clear sky,34
